number,value,datetime_start,datetime_complete,duration,params_conv2_drop,params_fc1_neurons,params_learning_rate,params_num_conv1_channels,params_num_conv2_channels,params_optimizer,state
22,0.020247317850589752,2022-11-04 01:12:50.568386,2022-11-04 01:15:39.229685,0 days 00:02:48.661299,0.17236807213809546,120,0.00020818564670309955,64,80,Adam,COMPLETE
76,0.020374581217765808,2022-11-04 04:46:15.037479,2022-11-04 04:49:03.363159,0 days 00:02:48.325680,0.16037716099222302,180,0.0005845455754656542,128,80,Adam,COMPLETE
33,0.02048429287970066,2022-11-04 01:55:23.413888,2022-11-04 01:58:39.238018,0 days 00:03:15.824130,0.18261394608971224,110,0.00011209623666824206,80,64,Adam,COMPLETE
56,0.020487599074840546,2022-11-04 03:26:39.694673,2022-11-04 03:31:19.634975,0 days 00:04:39.940302,0.15400498902728843,120,5.4770045840495305e-05,112,80,Adam,COMPLETE
45,0.02049810066819191,2022-11-04 02:43:32.599321,2022-11-04 02:48:10.637862,0 days 00:04:38.038541,0.17972994402967854,100,0.00011600059898485451,32,96,Adam,COMPLETE
78,0.020603349432349205,2022-11-04 04:52:27.622930,2022-11-04 04:54:53.999299,0 days 00:02:26.376369,0.1488153633141125,180,0.000731850052986961,96,80,Adam,COMPLETE
28,0.020716998726129532,2022-11-04 01:33:52.533711,2022-11-04 01:38:32.607978,0 days 00:04:40.074267,0.13698917163004398,170,6.19402573555088e-05,96,64,Adam,COMPLETE
34,0.02096981182694435,2022-11-04 01:58:39.238018,2022-11-04 02:03:19.472577,0 days 00:04:40.234559,0.15984958077404585,90,8.344650720208465e-05,112,48,Adam,COMPLETE
53,0.02113582380115986,2022-11-04 03:16:09.384353,2022-11-04 03:18:01.679457,0 days 00:01:52.295104,0.07035299424536091,110,0.0002784740253438091,112,128,Adam,COMPLETE
59,0.021247200667858124,2022-11-04 03:40:37.980259,2022-11-04 03:43:12.524353,0 days 00:02:34.544094,0.19165101855921463,160,0.00019610079661717345,80,64,Adam,COMPLETE
20,0.021492643281817436,2022-11-04 01:04:12.595015,2022-11-04 01:08:38.689878,0 days 00:04:26.094863,0.12596422701343368,40,0.00017806086773389392,96,80,Adam,COMPLETE
19,0.021732468158006668,2022-11-04 00:59:33.281370,2022-11-04 01:04:12.595015,0 days 00:04:39.313645,0.16701415910588943,90,4.5600751496084203e-05,80,112,Adam,COMPLETE
50,0.021841200068593025,2022-11-04 03:03:47.965871,2022-11-04 03:08:28.269743,0 days 00:04:40.303872,0.16338969894879884,80,5.095841812903029e-05,96,112,Adam,COMPLETE
24,0.021899744868278503,2022-11-04 01:19:50.387159,2022-11-04 01:22:38.233334,0 days 00:02:47.846175,0.1780845837190835,110,0.00039450937922041427,80,48,Adam,COMPLETE
